1|Jeans|Brown|12.63
2|Gloves|Green|23.30
3|Socks|Pink|7.34
4|Coat|Orange|19.85
5|Socks|Green|6.0
6|T-Shirt|Blue|16.51
7|T-Shirt|Orange|11.67
8|Coat|Blue|22.41
9|Hat|Yellow|12.44
10|T-Shirt|Blue|5.28
11|Underwear|Green|16.16
12|Jeans|Yellow|14.20
13|Underwear|Blue|24.18
14|Hat|Orange|13.42
15|Sweatshirt|Pink|13.74
16|T-Shirt|Orange|11.52
17|Gloves|Red|22.66
18|Underwear|Orange|19.61
19|Hat|Pink|10.61
20|Hat|Yellow|6.89
21|Underwear|Blue|24.87
22|T-Shirt|Red|23.34
23|Gloves|Brown|7.30
24|Socks|Orange|7.54.21
25|T-Shirt|Blue|10.73
26|Jeans|Pink|12.52
27|Jeans|Yellow|19.74
28|Gloves|Pink|24.90
29|Underwear|Green|25.6
30|Sweatshirt|Green|11.28
31|Underwear|Green|19.94
32|Coat|Yellow|25.25
33|Socks|Red|13.50
34|T-Shirt|Yellow|13.97
35|Underwear|Yellow|14.89
36|Gloves|Blue|13.19
37|Gloves|Orange|16.10
38|Sweatshirt|Blue|10.79
39|Socks|Brown|23.1
40|Coat|Yellow|14.0
41|Sweatshirt|Yellow|6.23
42|Sweatshirt|Yellow|21.40
43|Coat|Blue|11.90
44|Gloves|Yellow|11.69
45|Coat|Green|24.85
46|Underwear|Brown|25.61
47|Jeans|Red|22.17
48|Jeans|Yellow|23.35
49|Gloves|Green|16.54
50|Coat|Orange|22.58
51|Jeans|Blue|25.26
52|Socks|Yellow|22.26
53|Socks|Orange|24.58
54|Jeans|Red|7.46
55|Jeans|Green|21.76
56|Hat|Red|25.72
57|Coat|Brown|24.51
58|Underwear|Pink|18.90
59|Socks|Yellow|13.72
60|Gloves|Red|23.11
61|Underwear|Green|16.23
62|Jeans|Yellow|23.37
63|Sweatshirt|Blue|7.61
64|Jeans|Blue|5.88
65|T-Shirt|Orange|8.77
66|Jeans|Yellow|13.87
67|Hat|Blue|23.9
68|T-Shirt|Yellow|17.72
69|Hat|Red|25.2
70|Coat|Pink|10.81
71|Coat|Red|8.76
72|Socks|Blue|15.63
73|Sweatshirt|Green|16.62
74|Hat|Blue|20.48
75|T-Shirt|Red|18.41
76|Jeans|Pink|8.92
77|Hat|Yellow|5.70
78|Coat|Brown|22.46
79|Gloves|Yellow|19.81
80|Coat|Red|9.57
81|Hat|Orange|20.70
82|Underwear|Brown|8.46
83|Gloves|Green|23.40
84|Coat|Brown|13.26
85|Jeans|Orange|10.27
86|Gloves|Pink|16.38
87|Socks|Blue|18.24
88|Jeans|Brown|12.52
89|Jeans|Blue|23.15
90|Coat|Green|6.56
91|T-shirt|Green|20.56
92|Coat|Yellow|13.10
93|Gloves|Green|13.85
94|Jeans|Brown|17.69
95|Socks|Yellow|5.77
96|Sweatshirt|Brown|6.6
97|T-shirt|Yellow|25.98
98|Gloves|Orange|9.91
99|T-shirt|Red|5.39

